النمط	المستبدل	ملاحظة1	الخطأ	الصحيح		
يا أبَتِي	يا أبَتِ	التاء عِوَضٌ من الياء المحذوفة	يا أبَتِي	يا أبَتِ		 
أبُ الفقيد	أبو الفقيد|أبا الفقيد|أبي الفقيد	أب من الأسماء الخمسةـ ترفع بالواو، وتجر بالياء، وتنصب بالألف 	أبُ الفقيد	أبُو الفقيد		
بكى من شدة التأثير	بكى من شدة التأثـُّر	(أثـّر فيه تأثيراً): ترك فيه أثراً	بكى من شدة التأثير	بكى من شدة التأثـُّر		
له قيمة محددة من أجل مادة	له قيمة محددة لمادة		له قيمة محددة من أجل مادة معينـَّة	له قيمة محددة لمادة معينـَّة		
وَقَع مؤخَّراً	وَقَع حديثاً| وقع قريباً |وقع منذ عهد قريب|وقع قبل مدة قصيرة	(المُؤَخـَّر): نهاية الشيء من الخلف	وَقَع مؤخَّراً	وَقَع حديثاً / قريباً / منذ عهد قريب / قبل مدة قصيرة		
استأذن منه 	استأذنه		استأذن منه 	استأذنه		
هذا الأرنب	هذه الأرنب	(الأرنب) اسمٌ مؤنـّث	هذا الأرنب	هذه الأرنب		
هل أنتَ متأكِّد	هل أنتَ متيقِّن| هل أنتَ متحقق	متيقن أو متحقق بدلا من متأكد	هل أنتَ متأكِّد؟	هل أنتَ متيقِّن؟ / هل أنتَ متحقق؟		
أكَّد بأن	أكَّد أنّ	لا حاجة لحرف الجر باء	أكَّد بأنـَّه صادقٌ	أكَّد أنـَّه صادقٌ		
يجب أن نتأكّد من	يجب أن يتأكّد لنا		يجب أن نتأكّد من حدوث كذا	يجب أن يتأكّد لنا حدوثُ كذا		
يجب أن نتأكّد من	يجب أن نتحقّق |يجب أن نتيَقَّن		يجب أن نتأكّد من حدوث كذا	يجب أن نتحقّق / نتيَقَّن حدوثَ كذا		
يجب أن نتأكّد من	يجب أن نستَيْقِنَ		يجب أن نتأكّد من حدوث كذا	يجب أن نستَيْقِنَ حدوثَ كذا		
يجب أن نتأكّد من	يجب أن نتوثـَّق 		يجب أن نتأكّد من حدوث كذا	يجب أن نتوثـَّق من حدوثِ كذا		
الإِلْيَةُ	الأَلْيَةُ		الإِلْيَةُ	الأَلْيَةُ		
إمارة الشيء	أمارة الشيء	(الإمارة): منصب الأمير، والأرض التي يملكها الأمير	إمارة الشيء	أمارة الشيء		
أمَلَ ب|أمل في	أمَلَ 	الفعل (أمَلَ) يتعدّى بنفسه	أمَلَ بفلان / في فلان	أمَلَ فلاناً		
تأَمَّل خيراً	أمَّل خيراً	(تأمَّل): تدبّر	تأَمَّل خيراً	أمَّل خيراً		
تأمين راحة	توفير راحة		لتأمين راحة المصطافين	لتوفير راحة المصطافين		
تأمين سِرِّية الاتصالات	تحقيق سِرِّية الاتصالات		لتأمين سِرِّية الاتصالات	لتحقيق سِرِّية الاتصالات		
الآنِفُ الذكرِ	المذكورُ آنِفاً	(الآنف): الماضي القريب	الكتابُ الآنِفُ الذكرِ	الكتابُ المذكورُ آنِفاً		
قام بأَوَدِه	عالَه | أَعالَه	(الأَوَد): الاعْوِجاج، (أقام أوَدَه): قَوّم اعوِجاجَه	قام بأَوَدِه	عالَه / أَعالَه		
لأولِ مرةٍ	أولَ مرةٍ		فلانٌ يغنـِّي لأولِ مرةٍ في حياته	فلانٌ يغنـِّي أولَ مرةٍ في حياته		
لأول وهلة	أول وهلة		يبدو ذلك غامضاً لأول وهلة	يبدو ذلك غامضاً أول وهلة		
هذه الآونة	هذا الأوان	(الآونة): جمع الأوان	في هذه الآونة من كلِّ صباح	في هذا الأوان من كلِّ صباح		
شهر إيلول	شهر أَيْلول		شهر إيلول	شهر أَيْلول		
هذا بئر	هذه بئرٌ	(البئر) اسمٌ مؤنث	هذا بئرٌ عميق	هذه بئرٌ عميقة		
استبدّيْتُ برأيي	استبدَدْتُ برأيي		استبدّيْتُ برأيي	استبدَدْتُ برأيي		
بادَرَ ل|بادر ب	بادَرَ إلى		بادَرَ لفِعلِ / بفعلِ الشيء	بادَرَ إلى فِعلِ الشيء		
البارحةَ ظُهراً	أمسِ ظُهراً	(البارحة): أقرب ليلةٍ مَضَت	لقيتُه البارحةَ ظُهراً	لقيتُه أمسِ ظُهراً		
بَرَشَ الصابونَ	بَشَرَ الصابونَ	(بَرِشَ الشيءُ): اختلف لونـُه	بَرَشَ الصابونَ	بَشَرَ الصابونَ		
عيد مبروك	عيد مبارك					
شيءٌ بسيط 	شيء قليل| شيء يسير	(أرض بسيطة): أرض منبسطة، مستوية. (ثوبٌ بسيط): مبسوط منشور.	شيءٌ بسيط 	شيء قليل / يسير		
رَجلٌ بسيط	رجلٌ غِرٌّ|رجل ساذَج |رجل مُغَفَّل	(رجلٌ بسيط): منبسط اللسان. (رجلٌ بسيط الوجه): إذا كان متهلّلاً منشرحاً. (رجلٌ بسيط اليدين): إذا كان كريماً مِسْماحاً	رَجلٌ بسيط	رجلٌ غِرٌّ / ساذَج / مُغَفَّل		
لا ينبغي عليك	لا ينبغي لك	(ما ينبغي لك): لا يليق بك، ولا يَحْسُن منك	لا ينبغي عليك	لا ينبغي لك		
ينبغي عليك ألاّ	يجب عليك ألاّ		ينبغي عليك ألاّ تكذب	يجب عليك ألاّ تكذب		
تَبَلَّغَ فلانٌ الأمرَ	أُبْلِغَ فلانٌ الأمرَ |بُلِّغَ فلانٌ الأمرَ	(تبلّغَ بالقليل): اكتفى به وقَنِع	تَبَلَّغَ فلانٌ الأمرَ	أُبْلِغَ فلانٌ الأمرَ / بُلِّغَ فلانٌ الأمرَ		
بما أن	لما كان	بما أنّ ... تركيب دخيل على العربية	بما أنّ... فإنّ ...	لمّا كان ... فإنّ ...		
ضوءٌ مُبْهِرٌ	ضوءٌ باهِرٌ	(أبْهَرَ الرجلُ): جاء بالعَجَب	ضوءٌ مُبْهِرٌ	ضوءٌ باهِرٌ		
بينما كان	حين كان		رأيتُه... بينما كان يهمّ بالخروج	رأيتُه... حين كان يهمّ بالخروج		
تبع ل	تبع		هذه الإدارةُ تَتْبَعُ لـوزارة كذا	هذه الإدارةُ تَتْبَعُ وزارةَ كذا		
تاجَرَ ب	اتَّجر في	(تاجَرَ فلانٌ فلاناً): اتَّجَرَ معه	تاجَرَ بكذا	اتَّجر في كذا		
التسعينات	التسعينيات	(تسعينات) جمعُ (تسعين)، أما (تسعينيات) فتعني السنوات المنسوبة إلى التسعين، أي الدالة على سنوات عَقْدٍ يبدأ بسنة تسعين وينتهي بسنة تسع وتسعين	في التسعينات من القرن الماضي	في التسعينيات من القرن الماضي		
شهر تشرين أول	شهر تشرين الأول		شهر تشرين أول	شهر تشرين الأول		
شهر تشرين ثان|شهر تشرين ثاني	شهر تشرين الثاني		شهر تشرين ثان / ثاني	شهر تشرين الثاني		
وبالتالي	لذا|ف| ومن ثمّ		قاتل بشجاعة وبالتالي استحقَّ الثناء	قاتل بشجاعة فاستحقَّ الثناء		
#وبالتالي	ومن ثمّ		سعيد أكبر من خالد، وبالتالي ...	سعيد أكبر من خالد، ومِن ثـَمّ ...		
وبالتالي فإن	لذا فإن		وبالتالي فإن حساسية القياس ...	لذا فإن حساسية القياس ...		
سيتم|تم|تمت		(تـَمّ): صار تامّاً وكَمُل	سيَتِمُّ تحديدُ موعدِ الاجتماعِ لاحقاً 	سَيُحَدّدُ موعدُ الاجتماعِ لاحقاً		
الثلاثينات	الثلاثينيات	(ثلاثينات) جمعُ (ثلاثين)، أما (ثلاثينيات) فتعني السنوات المنسوبة إلى الثلاثين، أي الدالة على سنوات عَقْدٍ يبدأ بسنة ثلاثين وينتهي بسنة تسع وثلاثين	في الثلاثينات من القرن الماضي	في الثلاثينيات من القرن الماضي		
شرابٌ مُثـَلَّجٌ	شرابٌ مَثـْلُوجٌ		شرابٌ مُثـَلَّجٌ	شرابٌ مَثـْلُوجٌ		
الثمانينات	الثمانينيات	(ثمانينات) جمعُ (ثمانين)، أما (ثمانينيات) فتعني السنوات المنسوبة إلى الثمانين، أي الدالة على سنوات عَقْدٍ يبدأ بسنة ثمانين وينتهي بسنة تسع وثمانين	في الثمانينات من القرن الماضي	في الثمانينيات من القرن الماضي		
في ثناياه	في أثنائه|في تضاعيفه|في طياته|في أطوائه |في مطاويه		يَحمل في ثناياه كلَّ خير	يَحمل في أثنائه / تضاعيفه / طياته / أطوائه / مطاويه كلَّ خير		
بمثابَةِ	بمَنْزِلة| تقوم مقام| تسد مسد|ك	(المثابة): الموضع الذي يُرْجَعُ إليه، والجزاء، والثواب	أنتَ بمثابَةِ أبي	أنتَ بمَنْزِلة أبي		
#بمثابَةِ	تقوم مَقام		هذه الأداة هي بمثابة حاسوب	هذه الأداة تقوم مَقام حاسوب		
#بمثابَةِ	تَسُدّ مَسَدّ		هذه الأداة هي بمثابة حاسوب	هذه الأداة تَسُدّ مَسَدّ حاسوب		
#بمثابَةِ	ك		وكانت له هذه المُرضِع بمثابة الأم	وكانت له هذه المُرْضِع كالأم		
الضرائبُ المُجْبَاةُ 	الضرائبُ الـمَجْبـِيَّةُ	الفعل هو: (جَبَى)، لا: (أجْبَى)	الضرائبُ المُجْبَاةُ 	الضرائبُ الـمَجْبـِيَّةُ		
كلامٌ جَذْلٌ	كلامٌ جَزْلٌ		كلامٌ جَذْلٌ	كلامٌ جَزْلٌ		
جَرَدَ لونُ القميص	نـَصَلَ لون القميص	(جَرِدَ الثوبُ): أَخْلَق. (جَرَد): قَشَر	جَرَدَ لونُ القميص	نـَصَلَ لونـُه		
جُمَادَى الثاني| جمادى الثانية 	جُمَادَى الآخِرَة		جُمَادَى الثاني / الثانية 	جُمَادَى الآخِرَة		
جنوبيَّ	جنوبَ	(جنوبيّ المدينة): في الجهة الجنوبية داخل المدينة. (جنوب المدينة): في الجهة الجنوبية خارج المدينة 	تقع دمشقُ جنوبيَّ حلب	تقع دمشقُ جنوبَ حلب		
أجاب على	أجاب عن | أجاب إلى السؤال		أجاب على السؤال	أجاب عن / إلى السؤال		
تَحابَبَ الناسُ	تَحابَّ الناسُ		تَحابَبَ الناسُ	تَحابَّ الناسُ		
حتى أنه لم	حتى إنه لم		حتى أنه لم يفهمْ كلامِي	حتى إنه لم يفهمْ كلامِي		
إلى حدّ كبير عن	إلى حدّ بعيد عن		يختلف البحث إلى حدّ كبير عن...	يختلف البحث إلى حدّ بعيد عن...		
إلى أكبر حدّ	إلى أبعد حدّ		ذَهَبَ إلى أكبر حدّ	ذَهَبَ إلى أبعد حدّ		
احتذى ب	احتذى مثالَ 		احتذيتُ بـفلان	احتذيتُ مثالَ فلان		
حَرَاجَةُ الموقف	حَرَجُ الموقف 		حَرَاجَةُ الموقف	حَرَجُ الموقف 		
شهر مُحَرَّم	شهر الْمُحَرَّم		في شهر مُحَرَّم	في شهر الْمُحَرَّم		
تَحَسُّباً من كل طارئ	تَحَسُّباً لكل طارئ		تَحَسُّباً من كل طارئ	تَحَسُّباً لكل طارئ		
الأَحْسَنُ مِن هذا	أَحْسَنُ مِن هذا		الأَحْسَنُ مِن هذا فِعْلُ كذا	أَحْسَنُ مِن هذا فِعْلُ كذا		
وهو الأَحْسَنُ مِن	وهو أَحْسَنُ مِن	أفعل التفضيل المحلّى بـ (أل) لا يجوز فيه ذكر (مِن) مع المفضَّل عليه	وهو الأَحْسَنُ مِن كلِّ هذا	وهو أَحْسَنُ مِن كلِّ هذا		
تَحَصَّلَ على	حَصَلَ على	(تـَحَصَّل الشيءُ): تَجَمَّعَ وثبت	تَحَصَّلَ على الشيءِ	حَصَلَ على الشيءِ		
الحَصْوَةُ	الحَصَاةُ		الحَصْوَةُ	الحَصَاةُ		
عملٌ مُحِطٌّ بشرفه	عملٌ حاطٌّ بشرفه	الفعل هو: (حَطَّ)، لا: (أحَطَّ)	عملٌ مُحِطٌّ بشرفه	عملٌ حاطٌّ بشرفه		
تَحَقَّقَ من الخبرِ	تَحَقَّقَ الخبرَ		تَحَقَّقَ فلانٌ من الخبرِ	تَحَقَّقَ فلانٌ الخبرَ		
تَحَكَّمَ ب	تَحَكَّمَ في		تَحَكَّمَ بالشيءِ	تَحَكَّمَ في الشيءِ 		
حكايا	حكايات		حكايا	حكايات		
حَلَّ في	حَلّ ب|حَلّ 		حَلَّ في منْزلنا	حَلّ بمنْزلنا / حَلّ منْزلَنا		
مَحَلاَّت 	مَحَالّ	(مَحَلاَّت) جَمْعُ (مَحَلَّة)، لا جَمْع (مَحَلّ)	مَحَلاَّت 	مَحَالّ		
تَحَمَّمَ	استَحَمَّ	(تَحَمَّمَ): اسودَّ	تَحَمَّمَ فلانٌ 	استَحَمَّ فلانٌ		
حَنـَايَا صدْرِهِ	أَحْنـَاءُ صدْرِهِ	(الحَنِيَّة): القوس، جمعها: حنايا.  (الحِنـْوُ): كُلّ ما فيه اعوجاج، كالضِّلع، جمعها: أحناء	امتلأتْ حَنـَايَا صدْرِهِ	امتلأتْ أَحْنـَاءُ صدْرِهِ		
أَحْنـَى رأسَهُ	حَنـَى رأسَهُ	(أَحْنـَى عليه): عطف عليه	أَحْنـَى رأسَهُ	حَنـَى رأسَهُ		
ما أَحْوَجَنا له	ما أَحْوَجَنا إليه		ما أَحْوَجَنا له	ما أَحْوَجَنا إليه		
حَازَ على	حَازَ		حَازَ على جوائز كثيرة	حَازَ جوائزَ كثيرة		
أَحَاطَهُ عِلْماً	أَعْلَمَهُ	(أحاط) فعلٌ لازم	أَحَاطَهُ عِلْماً	أَعْلَمَهُ		
أُحِيطُكم علماً	أُعْلِمُكم		أُحِيطُكم علماً بكذا	أُعْلِمُكم بكذا 		
أُحِيطُكم علماً	أرجو أن تحيطوا علماً		أُحِيطُكم علماً بكذا	أرجو أن تحيطوا علماً بكذا		
حَوافُّ الأنهار	حافاتُ الأنهار|حَوافِي الأنهار		حَوافُّ الأنهار	حافاتُ / حَوافِي الأنهار		
ثوبٌ مُحَاكٌ	ثوبٌ مَحُوكٌ |ثوب مَحِيكٌ	الفعل هو: (حاك)، لا: (أحاك)	ثوبٌ مُحَاكٌ	ثوبٌ مَحُوكٌ / مَحِيكٌ		
دراسات حول	دراسات في		دراسات حول اللغة	دراسات في اللغة		
تقرير حول	تقرير عن		تقرير حول الجلسة	تقرير عن الجلسة		
آراء حول	آراء في		آراء القراء حول الكتاب	آراء القراء في الكتاب		
توضيحٌ حول	توضيحُ| توضيحٌ ل		توضيحٌ حول فتوى ...	توضيحُ فتوى ... / توضيحٌ لفتوى ...		
ملاحظات حول	ملاحظات على| تعقيب يتعلق ب|استدراك حول		ملاحظات حول الأسباب ...	ملاحظات على الأسباب ...		
#ملاحظات حول	تعقيب يتعلق ب		ملاحظات حول الأسباب ...	تعقيب يتعلق بالأسباب ...		
#ملاحظات حول	استدراك على		ملاحظات حول الأسباب ...	استدراك على الأسباب...		
إرشادات حول	إرشادات ذات صلة | إرشادات تتعلق ب		إرشادات حول كذا ...	إرشادات ذات صلة / تتعلق بكذا...		
حَوَى على	حَوَى		حَوَى على قطعٍ أثرية	حَوَى قطعاً أثرية		
احْتَارَ في	حَارَ | تحيَّر في		احْتَارَ في أمرِهِ	حَارَ / تحيَّر في أمرِهِ		
خارِطَة	مصوَّر |خَرِيطَة		خارِطَة	مصوَّر / خَرِيطَة		
خزينةُ الدولة	خِزانةُ الدولة		خزينةُ الدولة	خِزانةُ الدولة		
أَخِصَّائِيٌّ| إخْصائِيّ	مُتَخَصِّصٌ| مُخْتَصٌّ		فلانٌ أَخِصَّائِيٌّ / إخْصائِيّ	فلانٌ مُتَخَصِّصٌ / مُخْتَصٌّ		
اختصاصيّ	مُتَخَصِّصٌ|مُخْتَصٌّ		فلانٌ اختصاصيّ	فلانٌ مُتَخَصِّصٌ / مُخْتَصٌّ		
خِصِّيصاً	خِصِّيصَى|خاصاً		فَعَلَهُ خِصِّيصاً لك	فَعَلَهُ خِصِّيصَى لك / فَعَلَهُ خاصاً بك		
حَسَنُ الخَصَائِل	حَسَنُ الخِصَال	(الخصائل) جمع خصيلة، وهي القطعة من اللحم	فلانٌ حَسَنُ الخَصَائِل	فلانٌ حَسَنُ الخِصَال		
الخُضارَ|الخُضْرَوات	الخُضَر| الخَضْراوات		يُحبّ الخُضارَ / الخُضْرَوات	يُحبّ الخُضَر / الخَضْراوات		
أَخْطَأَ عنِ الصواب	أَخْطَأَ الصوابَ		أَخْطَأَ عنِ الصوابِ	أَخْطَأَ الصوابَ		
أَخْطَأْتُ مع	أَخْطَأْتُ على	أخطأتُ مع فلان = أخطأ فلانٌ وأخطأتُ معه	أَخْطَأْتُ مع فلان 	أَخْطَأْتُ على فلان		
ألقى عليهم خِطاباً |ألقى خطابا	ألقى عليهم خُطْبَةً | ألقى خُطبة	(الخِطاب): ما يكلم به الرجلُ صاحِبَهُ	ألقى عليهم خِطاباً 	ألقى عليهم خُطْبَةً 		
خَطِير |ذو خُطُورَة 	يُنْذِرُ  بالخطر |محفوف بالْخَطَر|شديد الخطر	(الخطير): الرفيعُ المقام. (الخطورة): عِظَمُ الشَّأْن والمنزلة	موقفٌ خَطِير / ذو خُطُورَة 	موقفٌ يُنْذِرُ / محفوف بالْخَطَر		
#خَطِير | ذو خُطُورَة 	شَديدُ الْخَطَر	(الخطير): الرفيعُ المقام. (الخطورة): عِظَمُ الشَّأْن والمنزلة	موقفٌ خَطِير / ذو خُطُورَة 	موقفٌ شَديدُ الْخَطَر		
أَخْطَرَ ب	أنْذَر ب		أَخْطَرَهُ بكذا 	أنْذَرَهُ بكذا		
كثيرةُ المَخاطِر	كثيرةُ الأخْطار		أرضٌ كثيرةُ المَخاطِر	أرضٌ كثيرةُ الأخْطار		
أَخْلَفَ بوعدِهِ 	أَخْلَفَ وعدَهُ		أَخْلَفَ بوعدِهِ 	أَخْلَفَ وعدَهُ		
اخْتَلَفُوا على	اخْتَلَفُوا في		اخْتَلَفُوا على الأمرِ	اخْتَلَفُوا في الأمرِ		
خَلُوقٌ	حَسَنُ الخُلُق	(الخَلُوق): الطِّيب	فلانٌ خَلُوقٌ	فلانٌ حَسَنُ الخُلُق		
#من خلال	بناءً على		لا يمكن -من خلال هذا- الادعاءُ بأن...	لا يمكن -بناءً على هذا- الادعاءُ أن / بأن...		
من خلال	بناءً على|استناداً إلى|من|نتيجة		لا يمكن -من خلال هذا- الادعاءُ بأن...	لا يمكن -استناداً إلى هذا- الادعاءُ أن / بأن...		
#من خلال	من		تأكد لفلان من خلال أعماله أن..	تأكد لفلان من أعماله أن...		
#من خلال	نتيجةَ		تأكد لفلان من خلال أعماله أن..	تأكد لفلان نتيجة أعماله أن...		
هاتف خليَوِيّ	هاتف خَلَوِيّ		هاتف خليَوِيّ	هاتف خَلَوِيّ		
اخْتَلَى بها 	خَلا بها | خلا إليها |خلا معها	(اختلى البقلَ): احتشَّه؛ أي: انتزعه	اخْتَلَى بها 	خَلا بها / إليها / معها		
أخْلَوْا السكانَ من المنْزل	أخْلَوْا المنْزلَ من السكان|أجْلَوْا السكانَ من المنْزل	(الإخلاء) يكون للمنزل لا للسكان, و(الإجلاء) يكون للسكان	أخْلَوْا السكانَ من المنْزل	أخْلَوْا المنْزلَ من السكان		
#أخْلَوْا السكانَ من المنْزل	أجْلَوْا السكانَ من المنْزل	(الإخلاء) يكون للمنزل لا للسكان, و(الإجلاء) يكون للسكان	أخْلَوْا السكانَ من المنْزل	أجْلَوْا السكانَ من المنْزل		
الخمّارة 	الْمَخْمَرَة | الحانة	(الخمّارة): بائعةُ الخمر	الخمّارة 	الْمَخْمَرَة / الحانة		
ضَرَبَ أخْماساً بأسداس 	ضَرَبَ أخْماساً لأسداس 	مثلٌ يُضربُ لِمَن يسعى في المكرِ والخَديعة	ضَرَبَ أخْماساً بأسداس 	ضَرَبَ أخْماساً لأسداس 		
الخمسينات	الخمسينيات	(خمسينات) جمعُ (خمسين)، أما (خمسينيات) فتعني السنوات المنسوبة إلى الخمسين، أي الدالة على سنوات عَقْدٍ يبدأ بسنة خمسين وينتهي بسنة تسع وخمسين	في الخمسينات من القرن الماضي	في الخمسينيات من القرن الماضي		
خَوَّلَ إليه الأمرَ	خَوَّلَهُ الأمرَ		خَوَّلَ إليه الأمرَ	خَوَّلَهُ الأمرَ		
ثوبُ مُخَاطٌ	ثوبُ مَخِيطٌ	الفعل هو: (خاط)، لا: (أخاط)	هذا الثوبُ مُخَاطٌ في المصنع	هذا الثوبُ مَخِيطٌ في المصنع		
نـَصْلٌ مُدَبَّبٌ	نـَصْلٌ مُذَبَّب |نصل حادٌّ	(دَبَّبَهُ): جَعَلَهُ يَدِبّ	نـَصْلٌ مُدَبَّبٌ	نـَصْلٌ مُذَبَّب / حادٌّ		
لا دَخْلَ لك	لا علاقة لك 		لا دَخْلَ لك في هذا	لا علاقة لك بهذا		
دَعَسَ على	دَعَسَ		دَعَسَ عليه	دَعَسَهُ		
مكانٌ دافِئٌ 	مكانٌ دَفِيءٌ |مكان دَفِئٌ		مكانٌ دافِئٌ 	مكانٌ دَفِيءٌ / دَفِئٌ		
دقَّ على الباب 	دقَّ البابَ 		دقَّ على الباب 	دقَّ البابَ 		
بساط داكن |سجادة داكنة 	بساط أدْكن |سجادة دَكْناء 		بساط داكن / سجادة داكنة 	بساط أدْكن / سجادة دَكْناء 		
دَلَفَ السقفُ	وَكَفَ السقفُ	(دَلَفَ الشيخُ): مشى مَشْياً بَطيئاً كمَن يَزحَف	دَلَفَ السقفُ	وَكَفَ السقفُ		
مرتبة أدنى	مرتبة دنيا		في المرتبة الأدنى	في المرتبة الدنيا		
دَهَسَتْهُ السيارةُ	دَعَسَتْهُ السيارةُ		دَهَسَتْهُ السيارةُ	دَعَسَتْهُ السيارةُ		
مُنْدَهِش	دَهِشٌ |مدهوش		فلانٌ مُنْدَهِش	فلان دَهِشٌ / مدهوش		
داهَمَنا العدوُّ 	دَهَمَنا العدوُّ		داهَمَنا العدوُّ 	دَهَمَنا العدوُّ		
والأدهى من ذلك أن	والأدهى أن|وأدهى من ذلك أن	أفعل التفضيل إذا دخلت عليه [أل] لا تلحقه [من]	والأدهى من ذلك أن...	والأدهى أن.. / وأدهى من ذلك أن..		
مدراءُ المدارسِ	مُديرو المدارس		اجتمع مدراءُ المدارسِ	اجتمع مُديرو المدارس		
داس على	داس		داس عليه	داسه		
تداول القومُ في	تداولَ القومُ	(تداولوا الشيءَ): أخذه هؤلاء مرة، وأولئك أخرى	تداول القومُ في الشيء 	تداولَ القومُ الشيءَ 		
الدَّوْلتانِ الأعظَمُ	الدَّوْلتانِ العُظْمَيانِ	الصفة تتبع موصوفها في الإفراد والتثنية والجمع	الدَّوْلتانِ الأعظَمُ	الدَّوْلتانِ العُظْمَيانِ		
